time (yyyy),x
1610,1360.1856
1611,1360.47
1612,1360.6798
1613,1360.9569
1614,1361.0877
1615,1361.0211
1616,1360.6735
1617,1360.3792
1618,1360.2902
1619,1360.3277
1620,1360.3773
1621,1360.3788
1622,1360.3783
1623,1360.3801
1624,1360.3495
1625,1360.4456
1626,1360.5186
1627,1360.4285
1628,1360.4122
1629,1360.4273
1630,1360.3466
1631,1360.2914
1632,1360.2837
1633,1360.3203
1634,1360.3345
1635,1360.3001
1636,1360.2879
1637,1360.2465
1638,1360.4751
1639,1360.7861
1640,1360.6269
1641,1360.3285
1642,1360.4316
1643,1360.5082
1644,1360.3885
1645,1360.3211
1646,1360.275
1647,1360.2722
1648,1360.2714
1649,1360.2709
1650,1360.2706
1651,1360.275
1652,1360.2905
1653,1360.4116
1654,1360.3536
1655,1360.2788
1656,1360.275
1657,1360.2743
1658,1360.274
1659,1360.274
1660,1360.2931
1661,1360.3974
1662,1360.2837
1663,1360.2744
1664,1360.274
1665,1360.274
1666,1360.274
1667,1360.274
1668,1360.274
1669,1360.274
1670,1360.274
1671,1360.2872
1672,1360.3714
1673,1360.2827
1674,1360.2741
1675,1360.274
1676,1360.2949
1677,1360.5218
1678,1360.4161
1679,1360.2832
1680,1360.288
1681,1360.3207
1682,1360.3106
1683,1360.2775
1684,1360.2742
1685,1360.274
1686,1360.274
1687,1360.274
1688,1360.2877
1689,1360.3253
1690,1360.277
1691,1360.274
1692,1360.2748
1693,1360.2833
1694,1360.3016
1695,1360.3291
1696,1360.3645
1697,1360.406
1698,1360.4514
1699,1360.4983
1700,1360.5536
1701,1360.6734
1702,1360.7311
1703,1360.8608
1704,1361.055
1705,1361.2358
1706,1361.2116
1707,1361.1467
1708,1361.0779
1709,1360.9314
1710,1360.749
1711,1360.6168
1712,1360.5948
1713,1360.6123
1714,1360.6612
1715,1360.7589
1716,1360.8897
1717,1361.0173
1718,1361.0718
1719,1360.9871
1720,1360.8692
1721,1360.8403
1722,1360.8596
1723,1360.8525
1724,1360.9056
1725,1361.0531
1726,1361.2593
1727,1361.5167
1728,1361.6384
1729,1361.4705
1730,1361.2124
1731,1361.0095
1732,1360.8209
1733,1360.6846
1734,1360.719
1735,1360.8727
1736,1361.1208
1737,1361.32
1738,1361.464
1739,1361.5594
1740,1361.4427
1741,1361.1851
1742,1360.9059
1743,1360.7369
1744,1360.6324
1745,1360.6165
1746,1360.7201
1747,1360.8959
1748,1361.0988
1749,1361.2335
1750,1361.4649
1751,1361.3138
1752,1361.0908
1753,1360.9975
1754,1360.7565
1755,1360.6562
1756,1360.6671
1757,1360.7414
1758,1361.0029
1759,1361.0753
1760,1361.2069
1761,1361.2972
1762,1361.265
1763,1361.1508
1764,1361.093
1765,1360.9598
1766,1360.9442
1767,1361.0685
1768,1361.342
1769,1361.5476
1770,1361.753
1771,1361.5262
1772,1361.3462
1773,1361.0441
1774,1360.9785
1775,1360.9037
1776,1361.0832
1777,1361.3949
1778,1362.0953
1779,1362.2204
1780,1362.022
1781,1361.7243
1782,1361.419
1783,1361.211
1784,1361.0623
1785,1361.1109
1786,1361.3189
1787,1361.7002
1788,1361.9834
1789,1361.8635
1790,1361.8095
1791,1361.5348
1792,1361.3774
1793,1361.238
1794,1361.0443
1795,1360.9135
1796,1360.7445
1797,1360.5997
1798,1360.5179
1799,1360.5389
1800,1360.5496
1801,1360.7116
1802,1360.8725
1803,1360.8982
1804,1360.922
1805,1360.9842
1806,1360.8822
1807,1360.7678
1808,1360.6554
1809,1360.653
1810,1360.5901
1811,1360.5955
1812,1360.6197
1813,1360.664
1814,1360.7226
1815,1360.7703
1816,1360.9684
1817,1360.9511
1818,1360.8582
1819,1360.7555
1820,1360.7089
1821,1360.5598
1822,1360.5003
1823,1360.4454
1824,1360.517
1825,1360.6014
1826,1360.7331
1827,1360.9801
1828,1361.1005
1829,1361.1692
1830,1361.1863
1831,1361.223
1832,1361.1073
1833,1361.0124
1834,1361.0475
1835,1361.2486
1836,1361.6779
1837,1362.01
1838,1361.9534
1839,1361.6474
1840,1361.5464
1841,1361.2698
1842,1361.0567
1843,1360.9997
1844,1361.0225
1845,1361.2034
1846,1361.408
1847,1361.4796
1848,1361.8721
1849,1361.9142
1850,1361.7005
1851,1361.5037
1852,1361.4177
1853,1361.2921
1854,1361.0975
1855,1360.977
1856,1360.8772
1857,1360.9499
1858,1361.1913
1859,1361.4779
1860,1361.6335
1861,1361.6242
1862,1361.4956
1863,1361.3489
1864,1361.2972
1865,1361.28
1866,1361.1589
1867,1361.0301
1868,1361.152
1869,1361.4661
1870,1361.6794
1871,1361.9733
1872,1361.731
1873,1361.6337
1874,1361.3396
1875,1361.0057
1876,1360.7805
1877,1360.7192
1878,1360.6067
1879,1360.593
1880,1360.7627
1881,1361.0932
1882,1361.1539
1883,1361.1109
1884,1361.3241
1885,1361.2171
1886,1361.0569
1887,1360.8577
1888,1360.81
1889,1360.7764
1890,1360.765
1891,1360.884
1892,1361.1688
1893,1361.3458
1894,1361.4701
1895,1361.3363
1896,1361.2281
1897,1360.9385
1898,1360.8914
1899,1360.8152
1900,1360.729
1901,1360.6394
1902,1360.6319
1903,1360.7228
1904,1361.0143
1905,1361.0005
1906,1361.2441
1907,1361.1264
1908,1361.1528
1909,1361.0208
1910,1360.9185
1911,1360.7133
1912,1360.6625
1913,1360.711
1914,1360.7851
1915,1361.0964
1916,1361.4054
1917,1361.5701
1918,1361.7757
1919,1361.456
1920,1361.1199
1921,1360.8915
1922,1360.7013
1923,1360.5976
1924,1360.6045
1925,1360.7004
1926,1361.0393
1927,1361.3065
1928,1361.2413
1929,1361.1
1930,1361.1858
1931,1360.9547
1932,1360.8472
1933,1360.8356
1934,1360.8648
1935,1360.9766
1936,1361.4379
1937,1361.717
1938,1361.6735
1939,1361.6299
1940,1361.3999
1941,1361.2455
1942,1361.0801
1943,1360.9052
1944,1360.908
1945,1361.1456
1946,1361.2842
1947,1361.7197
1948,1361.9235
1949,1361.7306
1950,1361.6156
1951,1361.1933
1952,1361.1126
1953,1361.0253
1954,1360.9819
1955,1361.1123
1956,1361.4949
1957,1362.0982
1958,1362.3628
1959,1362.0576
1960,1361.9256
1961,1361.5795
1962,1361.1854
1963,1361.0138
1964,1360.8779
1965,1360.8301
1966,1360.9332
1967,1361.1374
1968,1361.4356
1969,1361.5281
1970,1361.4117
1971,1361.2392
1972,1361.1948
1973,1361.066
1974,1360.9792
1975,1360.9566
1976,1360.944
1977,1361.05
1978,1361.2295
1979,1361.7566
1980,1361.6909
1981,1361.7126
1982,1361.4217
1983,1361.3923
1984,1360.9775
1985,1360.8359
1986,1360.8877
1987,1360.9677
1988,1361.284
1989,1361.7357
1990,1361.6844
1991,1361.5875
1992,1361.5255
1993,1361.3081
1994,1361.1154
1995,1361.02
1996,1360.9005
1997,1361.0787
1998,1361.4702
1999,1361.7339
2000,1361.9522
2001,1361.9009
2002,1361.9725
2003,1361.4971
2004,1361.296
2005,1361.1431
2006,1361.1004
2007,1361.0004
2008,1360.9794
2009,1360.9856
2010,1361.2296
2011,1361.464
2012,1361.592
2013,1361.6117
2014,1361.5882
2015,1361.7017
2016,1361.3384
2017,1361.2147
2018,1361.256
