,OPTIMIZER,learning_rate,score
1,adamax.Adamax,1e-05,[[307.77718161]]
2,adamax.Adamax,0.01011090909090909,[[310.93647479]]
3,adamax.Adamax,0.02021181818181818,[[391.26351482]]
4,adamax.Adamax,0.030312727272727272,[[304.86793707]]
5,adamax.Adamax,0.04041363636363637,[[413.81420368]]
6,adamax.Adamax,0.05051454545454546,[[456.22716494]]
7,adamax.Adamax,0.06061545454545455,[[456.98916992]]
8,adamax.Adamax,0.07071636363636363,[[298.02279659]]
9,adamax.Adamax,0.08081727272727272,[[326.68526238]]
10,adamax.Adamax,0.09091818181818181,[[347.00338101]]
11,adamax.Adamax,0.1010190909090909,[[331.65134414]]
12,adamax.Adamax,0.11112,[[731.90570777]]
13,adamax.Adamax,0.12122090909090909,[[334.81501926]]
14,adamax.Adamax,0.1313218181818182,[[1234.50519233]]
15,adamax.Adamax,0.14142272727272728,[[454.84933679]]
16,adamax.Adamax,0.15152363636363636,[[377.03628328]]
17,adamax.Adamax,0.16162454545454547,[[549.95351168]]
18,adamax.Adamax,0.17172545454545457,[[347.05844627]]
19,adamax.Adamax,0.18182636363636365,[[357.91254066]]
20,adamax.Adamax,0.19192727272727272,[[372.38812535]]
21,adamax.Adamax,0.20202818181818183,[[297.64988968]]
22,adamax.Adamax,0.21212909090909093,[[371.97585154]]
23,adamax.Adamax,0.22223,[[382.98189375]]
24,adamax.Adamax,0.2323309090909091,[[372.7224758]]
25,adamax.Adamax,0.2424318181818182,[[357.24261506]]
26,adamax.Adamax,0.2525327272727273,[[396.8176004]]
27,adamax.Adamax,0.2626336363636364,[[363.65633059]]
28,adamax.Adamax,0.27273454545454545,[[343.15124361]]
29,adamax.Adamax,0.28283545454545456,[[2099.38651476]]
30,adamax.Adamax,0.29293636363636366,[[309.4579042]]
31,adamax.Adamax,0.3030372727272727,[[303.74443677]]
32,adamax.Adamax,0.3131381818181818,[[490.26455834]]
33,adamax.Adamax,0.3232390909090909,[[307.16690664]]
34,adamax.Adamax,0.33334,[[336.25458218]]
35,adamax.Adamax,0.34344090909090913,[[372.95679953]]
36,adamax.Adamax,0.3535418181818182,[[378.60254553]]
37,adamax.Adamax,0.3636427272727273,[[386.30167948]]
38,adamax.Adamax,0.3737436363636364,[[957.06595908]]
39,adamax.Adamax,0.38384454545454544,[[1446.43764514]]
40,adamax.Adamax,0.39394545454545454,[[306.66989018]]
41,adamax.Adamax,0.40404636363636365,[[489.48175754]]
42,adamax.Adamax,0.41414727272727275,[[359.27520034]]
43,adamax.Adamax,0.42424818181818186,[[402.4758055]]
44,adamax.Adamax,0.4343490909090909,[[303.26446404]]
45,adamax.Adamax,0.44445,[[563.86395984]]
46,adamax.Adamax,0.4545509090909091,[[2116.20842049]]
47,adamax.Adamax,0.46465181818181817,[[388.28531538]]
48,adamax.Adamax,0.47475272727272727,[[385.12831497]]
49,adamax.Adamax,0.4848536363636364,[[411.25472284]]
50,adamax.Adamax,0.4949545454545455,[[462.03776657]]
51,adamax.Adamax,0.5050554545454545,[[364.54680376]]
52,adamax.Adamax,0.5151563636363636,[[343.04639746]]
53,adamax.Adamax,0.5252572727272727,[[313.22546357]]
54,adamax.Adamax,0.5353581818181817,[[298.00609144]]
55,adamax.Adamax,0.5454590909090908,[[335.46252369]]
56,adamax.Adamax,0.5555599999999999,[[335.91346176]]
57,adamax.Adamax,0.565660909090909,[[641.12587875]]
58,adamax.Adamax,0.5757618181818182,[[366.99550493]]
59,adamax.Adamax,0.5858627272727273,[[406.77929188]]
60,adamax.Adamax,0.5959636363636364,[[304.80294902]]
61,adamax.Adamax,0.6060645454545454,[[297.99946304]]
62,adamax.Adamax,0.6161654545454545,[[790.01927917]]
63,adamax.Adamax,0.6262663636363636,[[308.84719665]]
64,adamax.Adamax,0.6363672727272727,[[423.72481525]]
65,adamax.Adamax,0.6464681818181818,[[424.10364304]]
66,adamax.Adamax,0.6565690909090909,[[325.03730796]]
67,adamax.Adamax,0.66667,[[497.72867368]]
68,adamax.Adamax,0.6767709090909091,[[405.0001009]]
69,adamax.Adamax,0.6868718181818182,[[333.07885886]]
70,adamax.Adamax,0.6969727272727272,[[351.15681749]]
71,adamax.Adamax,0.7070736363636363,[[308.59413095]]
72,adamax.Adamax,0.7171745454545454,[[852.27530634]]
73,adamax.Adamax,0.7272754545454545,[[357.43481346]]
74,adamax.Adamax,0.7373763636363636,[[314.25508204]]
75,adamax.Adamax,0.7474772727272727,[[352.88893345]]
76,adamax.Adamax,0.7575781818181818,[[303.05716214]]
77,adamax.Adamax,0.7676790909090908,[[335.62147128]]
78,adamax.Adamax,0.7777799999999999,[[487.24646164]]
79,adamax.Adamax,0.787880909090909,[[297.81499641]]
80,adamax.Adamax,0.7979818181818181,[[373.02670219]]
81,adamax.Adamax,0.8080827272727272,[[306.23278708]]
82,adamax.Adamax,0.8181836363636363,[[339.27435067]]
83,adamax.Adamax,0.8282845454545454,[[370.30893291]]
84,adamax.Adamax,0.8383854545454545,[[315.50608739]]
85,adamax.Adamax,0.8484863636363636,[[364.71385101]]
86,adamax.Adamax,0.8585872727272726,[[325.35283052]]
87,adamax.Adamax,0.8686881818181817,[[329.59962465]]
88,adamax.Adamax,0.8787890909090909,[[309.84130452]]
89,adamax.Adamax,0.88889,[[487.30167091]]
90,adamax.Adamax,0.8989909090909091,[[866.51406231]]
91,adamax.Adamax,0.9090918181818182,[[346.08888173]]
92,adamax.Adamax,0.9191927272727273,[[337.59690863]]
93,adamax.Adamax,0.9292936363636363,[[1306.36006033]]
94,adamax.Adamax,0.9393945454545454,[[544.38980709]]
95,adamax.Adamax,0.9494954545454545,[[515.50594138]]
96,adamax.Adamax,0.9595963636363636,[[406.5607976]]
97,adamax.Adamax,0.9696972727272727,[[324.48865858]]
98,adamax.Adamax,0.9797981818181818,[[676.6666863]]
99,adamax.Adamax,0.9898990909090909,[[427.95961591]]
100,adamax.Adamax,1.0,[[371.9189331]]
101,elta.Adadelta,1e-05,[[608.97011136]]
102,elta.Adadelta,0.01011090909090909,[[387.49366099]]
103,elta.Adadelta,0.02021181818181818,[[339.2954989]]
104,elta.Adadelta,0.030312727272727272,[[398.03837405]]
105,elta.Adadelta,0.04041363636363637,[[350.05866784]]
106,elta.Adadelta,0.05051454545454546,[[362.67169337]]
107,elta.Adadelta,0.06061545454545455,[[464.5102678]]
108,elta.Adadelta,0.07071636363636363,[[357.71697048]]
109,elta.Adadelta,0.08081727272727272,[[708.38940985]]
110,elta.Adadelta,0.09091818181818181,[[394.08248858]]
111,elta.Adadelta,0.1010190909090909,[[1035.57275312]]
112,elta.Adadelta,0.11112,[[307.26601255]]
113,elta.Adadelta,0.12122090909090909,[[628.7090762]]
114,elta.Adadelta,0.1313218181818182,[[379.69133698]]
115,elta.Adadelta,0.14142272727272728,[[308.41280457]]
116,elta.Adadelta,0.15152363636363636,[[516.52454111]]
117,elta.Adadelta,0.16162454545454547,[[392.20944384]]
118,elta.Adadelta,0.17172545454545457,[[326.33435907]]
119,elta.Adadelta,0.18182636363636365,[[996.33259509]]
120,elta.Adadelta,0.19192727272727272,[[403.19868653]]
121,elta.Adadelta,0.20202818181818183,[[492.63916904]]
122,elta.Adadelta,0.21212909090909093,[[355.59704272]]
123,elta.Adadelta,0.22223,[[340.12624036]]
124,elta.Adadelta,0.2323309090909091,[[398.5047]]
125,elta.Adadelta,0.2424318181818182,[[820.00752501]]
126,elta.Adadelta,0.2525327272727273,[[398.31289722]]
127,elta.Adadelta,0.2626336363636364,[[415.66715587]]
128,elta.Adadelta,0.27273454545454545,[[383.99061892]]
129,elta.Adadelta,0.28283545454545456,[[335.44054034]]
130,elta.Adadelta,0.29293636363636366,[[296.88237737]]
131,elta.Adadelta,0.3030372727272727,[[374.78751572]]
132,elta.Adadelta,0.3131381818181818,[[352.29284275]]
133,elta.Adadelta,0.3232390909090909,[[528.69527198]]
134,elta.Adadelta,0.33334,[[367.00966308]]
135,elta.Adadelta,0.34344090909090913,[[313.27890698]]
136,elta.Adadelta,0.3535418181818182,[[442.96295848]]
137,elta.Adadelta,0.3636427272727273,[[454.11975232]]
138,elta.Adadelta,0.3737436363636364,[[370.19613409]]
139,elta.Adadelta,0.38384454545454544,[[669.88123312]]
140,elta.Adadelta,0.39394545454545454,[[472.47401231]]
141,elta.Adadelta,0.40404636363636365,[[368.55324669]]
142,elta.Adadelta,0.41414727272727275,[[884.22655384]]
143,elta.Adadelta,0.42424818181818186,[[438.52834273]]
144,elta.Adadelta,0.4343490909090909,[[303.3675863]]
145,elta.Adadelta,0.44445,[[411.8376117]]
146,elta.Adadelta,0.4545509090909091,[[409.52119219]]
147,elta.Adadelta,0.46465181818181817,[[628.94309071]]
148,elta.Adadelta,0.47475272727272727,[[297.85758412]]
149,elta.Adadelta,0.4848536363636364,[[333.55204424]]
150,elta.Adadelta,0.4949545454545455,[[301.15564391]]
151,elta.Adadelta,0.5050554545454545,[[402.84355361]]
152,elta.Adadelta,0.5151563636363636,[[592.80089062]]
153,elta.Adadelta,0.5252572727272727,[[318.09999598]]
154,elta.Adadelta,0.5353581818181817,[[344.56162325]]
155,elta.Adadelta,0.5454590909090908,[[321.27861992]]
156,elta.Adadelta,0.5555599999999999,[[376.09153548]]
157,elta.Adadelta,0.565660909090909,[[314.88218297]]
158,elta.Adadelta,0.5757618181818182,[[618.69236137]]
159,elta.Adadelta,0.5858627272727273,[[398.7484735]]
160,elta.Adadelta,0.5959636363636364,[[416.70641736]]
161,elta.Adadelta,0.6060645454545454,[[319.32929611]]
162,elta.Adadelta,0.6161654545454545,[[398.0352413]]
163,elta.Adadelta,0.6262663636363636,[[1283.52980501]]
164,elta.Adadelta,0.6363672727272727,[[698.42113283]]
165,elta.Adadelta,0.6464681818181818,[[308.27947794]]
166,elta.Adadelta,0.6565690909090909,[[369.92095173]]
167,elta.Adadelta,0.66667,[[352.88040998]]
168,elta.Adadelta,0.6767709090909091,[[322.45314768]]
169,elta.Adadelta,0.6868718181818182,[[682.20227196]]
170,elta.Adadelta,0.6969727272727272,[[313.85187504]]
171,elta.Adadelta,0.7070736363636363,[[319.778412]]
172,elta.Adadelta,0.7171745454545454,[[463.96007912]]
173,elta.Adadelta,0.7272754545454545,[[417.95476376]]
174,elta.Adadelta,0.7373763636363636,[[403.50784234]]
175,elta.Adadelta,0.7474772727272727,[[340.029022]]
176,elta.Adadelta,0.7575781818181818,[[309.64415947]]
177,elta.Adadelta,0.7676790909090908,[[345.91840885]]
178,elta.Adadelta,0.7777799999999999,[[528.8818223]]
179,elta.Adadelta,0.787880909090909,[[296.94056154]]
180,elta.Adadelta,0.7979818181818181,[[656.193015]]
181,elta.Adadelta,0.8080827272727272,[[446.8165476]]
182,elta.Adadelta,0.8181836363636363,[[302.27949128]]
183,elta.Adadelta,0.8282845454545454,[[456.68108939]]
184,elta.Adadelta,0.8383854545454545,[[4867.44126821]]
185,elta.Adadelta,0.8484863636363636,[[591.60059291]]
186,elta.Adadelta,0.8585872727272726,[[305.70926037]]
187,elta.Adadelta,0.8686881818181817,[[311.66013113]]
188,elta.Adadelta,0.8787890909090909,[[342.41367011]]
189,elta.Adadelta,0.88889,[[386.72834257]]
190,elta.Adadelta,0.8989909090909091,[[358.20430358]]
191,elta.Adadelta,0.9090918181818182,[[315.2188502]]
192,elta.Adadelta,0.9191927272727273,[[745.49460851]]
193,elta.Adadelta,0.9292936363636363,[[356.42118754]]
194,elta.Adadelta,0.9393945454545454,[[338.75093978]]
195,elta.Adadelta,0.9494954545454545,[[441.67768708]]
196,elta.Adadelta,0.9595963636363636,[[305.95595161]]
197,elta.Adadelta,0.9696972727272727,[[2259.35686088]]
198,elta.Adadelta,0.9797981818181818,[[1594.91571802]]
199,elta.Adadelta,0.9898990909090909,[[421.61211706]]
200,elta.Adadelta,1.0,[[353.34044493]]
201,_v2.adam.Adam,1e-05,[[335.22331808]]
202,_v2.adam.Adam,0.01011090909090909,[[399.08481011]]
203,_v2.adam.Adam,0.02021181818181818,[[1292.86748831]]
204,_v2.adam.Adam,0.030312727272727272,[[467.12763238]]
205,_v2.adam.Adam,0.04041363636363637,[[348.42690028]]
206,_v2.adam.Adam,0.05051454545454546,[[373.90426822]]
207,_v2.adam.Adam,0.06061545454545455,[[379.75687139]]
208,_v2.adam.Adam,0.07071636363636363,[[421.61321237]]
209,_v2.adam.Adam,0.08081727272727272,[[360.09835851]]
210,_v2.adam.Adam,0.09091818181818181,[[333.03387661]]
211,_v2.adam.Adam,0.1010190909090909,[[375.35224123]]
212,_v2.adam.Adam,0.11112,[[376.03385024]]
213,_v2.adam.Adam,0.12122090909090909,[[370.51955807]]
214,_v2.adam.Adam,0.1313218181818182,[[1323.06018169]]
215,_v2.adam.Adam,0.14142272727272728,[[421.8701201]]
216,_v2.adam.Adam,0.15152363636363636,[[525.21204361]]
217,_v2.adam.Adam,0.16162454545454547,[[411.62291334]]
218,_v2.adam.Adam,0.17172545454545457,[[508.40731741]]
219,_v2.adam.Adam,0.18182636363636365,[[315.14535304]]
220,_v2.adam.Adam,0.19192727272727272,[[345.20971312]]
221,_v2.adam.Adam,0.20202818181818183,[[355.77190933]]
222,_v2.adam.Adam,0.21212909090909093,[[316.42758631]]
223,_v2.adam.Adam,0.22223,[[396.09091006]]
224,_v2.adam.Adam,0.2323309090909091,[[331.39934872]]
225,_v2.adam.Adam,0.2424318181818182,[[299.36206882]]
226,_v2.adam.Adam,0.2525327272727273,[[323.82122043]]
227,_v2.adam.Adam,0.2626336363636364,[[901.16785905]]
228,_v2.adam.Adam,0.27273454545454545,[[369.72008277]]
229,_v2.adam.Adam,0.28283545454545456,[[411.69652574]]
230,_v2.adam.Adam,0.29293636363636366,[[306.26160056]]
231,_v2.adam.Adam,0.3030372727272727,[[352.5945174]]
232,_v2.adam.Adam,0.3131381818181818,[[426.92297346]]
233,_v2.adam.Adam,0.3232390909090909,[[301.2179636]]
234,_v2.adam.Adam,0.33334,[[316.31685575]]
235,_v2.adam.Adam,0.34344090909090913,[[330.55974753]]
236,_v2.adam.Adam,0.3535418181818182,[[339.09263108]]
237,_v2.adam.Adam,0.3636427272727273,[[655.76274003]]
238,_v2.adam.Adam,0.3737436363636364,[[307.37789139]]
239,_v2.adam.Adam,0.38384454545454544,[[338.00470431]]
240,_v2.adam.Adam,0.39394545454545454,[[869.99035635]]
241,_v2.adam.Adam,0.40404636363636365,[[323.07768931]]
242,_v2.adam.Adam,0.41414727272727275,[[578.94332819]]
243,_v2.adam.Adam,0.42424818181818186,[[517.30762075]]
244,_v2.adam.Adam,0.4343490909090909,[[385.51560607]]
245,_v2.adam.Adam,0.44445,[[392.27402607]]
246,_v2.adam.Adam,0.4545509090909091,[[310.88072491]]
247,_v2.adam.Adam,0.46465181818181817,[[364.28279175]]
248,_v2.adam.Adam,0.47475272727272727,[[336.16304672]]
249,_v2.adam.Adam,0.4848536363636364,[[435.17800974]]
250,_v2.adam.Adam,0.4949545454545455,[[359.59310392]]
251,_v2.adam.Adam,0.5050554545454545,[[480.55958984]]
252,_v2.adam.Adam,0.5151563636363636,[[360.94717934]]
253,_v2.adam.Adam,0.5252572727272727,[[342.20538291]]
254,_v2.adam.Adam,0.5353581818181817,[[592.45012407]]
255,_v2.adam.Adam,0.5454590909090908,[[1272.71850362]]
256,_v2.adam.Adam,0.5555599999999999,[[320.58597399]]
257,_v2.adam.Adam,0.565660909090909,[[386.13188647]]
258,_v2.adam.Adam,0.5757618181818182,[[5059.18186172]]
259,_v2.adam.Adam,0.5858627272727273,[[421.71166788]]
260,_v2.adam.Adam,0.5959636363636364,[[342.6950299]]
261,_v2.adam.Adam,0.6060645454545454,[[334.06567874]]
262,_v2.adam.Adam,0.6161654545454545,[[315.71358306]]
263,_v2.adam.Adam,0.6262663636363636,[[500.04011794]]
264,_v2.adam.Adam,0.6363672727272727,[[356.9290521]]
265,_v2.adam.Adam,0.6464681818181818,[[350.55843813]]
266,_v2.adam.Adam,0.6565690909090909,[[322.00700438]]
267,_v2.adam.Adam,0.66667,[[464.84864753]]
268,_v2.adam.Adam,0.6767709090909091,[[341.06470667]]
269,_v2.adam.Adam,0.6868718181818182,[[531.56601995]]
270,_v2.adam.Adam,0.6969727272727272,[[430.8911767]]
271,_v2.adam.Adam,0.7070736363636363,[[351.05438239]]
272,_v2.adam.Adam,0.7171745454545454,[[462.03780574]]
273,_v2.adam.Adam,0.7272754545454545,[[315.66424104]]
274,_v2.adam.Adam,0.7373763636363636,[[360.24268127]]
275,_v2.adam.Adam,0.7474772727272727,[[2284.24945052]]
276,_v2.adam.Adam,0.7575781818181818,[[345.91837688]]
277,_v2.adam.Adam,0.7676790909090908,[[858.56593305]]
278,_v2.adam.Adam,0.7777799999999999,[[420.13460519]]
279,_v2.adam.Adam,0.787880909090909,[[590.54910618]]
280,_v2.adam.Adam,0.7979818181818181,[[379.67288669]]
281,_v2.adam.Adam,0.8080827272727272,[[928.8589803]]
282,_v2.adam.Adam,0.8181836363636363,[[310.33279776]]
283,_v2.adam.Adam,0.8282845454545454,[[623.08093385]]
284,_v2.adam.Adam,0.8383854545454545,[[372.288663]]
285,_v2.adam.Adam,0.8484863636363636,[[551.82416634]]
286,_v2.adam.Adam,0.8585872727272726,[[1964.37596386]]
287,_v2.adam.Adam,0.8686881818181817,[[3846.09342176]]
288,_v2.adam.Adam,0.8787890909090909,[[2290.63872345]]
289,_v2.adam.Adam,0.88889,[[319.86114022]]
290,_v2.adam.Adam,0.8989909090909091,[[697.88082457]]
291,_v2.adam.Adam,0.9090918181818182,[[340.17071117]]
292,_v2.adam.Adam,0.9191927272727273,[[311.06840967]]
293,_v2.adam.Adam,0.9292936363636363,[[377.52219714]]
294,_v2.adam.Adam,0.9393945454545454,[[305.81039879]]
295,_v2.adam.Adam,0.9494954545454545,[[633.8046916]]
296,_v2.adam.Adam,0.9595963636363636,[[305.62490841]]
297,_v2.adam.Adam,0.9696972727272727,[[345.83028045]]
298,_v2.adam.Adam,0.9797981818181818,[[310.11206477]]
299,_v2.adam.Adam,0.9898990909090909,[[396.22218111]]
300,_v2.adam.Adam,1.0,[[2427.07877452]]
301,sprop.RMSprop,1e-05,[[456.01405706]]
302,sprop.RMSprop,0.01011090909090909,[[313.42068789]]
303,sprop.RMSprop,0.02021181818181818,[[690.38018817]]
304,sprop.RMSprop,0.030312727272727272,[[374.86489104]]
305,sprop.RMSprop,0.04041363636363637,[[340.46389021]]
306,sprop.RMSprop,0.05051454545454546,[[352.13164857]]
307,sprop.RMSprop,0.06061545454545455,[[555.35468918]]
308,sprop.RMSprop,0.07071636363636363,[[1281.22885751]]
309,sprop.RMSprop,0.08081727272727272,[[435.27799359]]
310,sprop.RMSprop,0.09091818181818181,[[362.27535972]]
311,sprop.RMSprop,0.1010190909090909,[[345.18152436]]
312,sprop.RMSprop,0.11112,[[362.66465058]]
313,sprop.RMSprop,0.12122090909090909,[[317.51856896]]
314,sprop.RMSprop,0.1313218181818182,[[373.97370237]]
315,sprop.RMSprop,0.14142272727272728,[[386.60609993]]
316,sprop.RMSprop,0.15152363636363636,[[320.70164892]]
317,sprop.RMSprop,0.16162454545454547,[[338.68788813]]
318,sprop.RMSprop,0.17172545454545457,[[465.37066142]]
319,sprop.RMSprop,0.18182636363636365,[[354.24623098]]
320,sprop.RMSprop,0.19192727272727272,[[395.28689752]]
321,sprop.RMSprop,0.20202818181818183,[[470.70658088]]
322,sprop.RMSprop,0.21212909090909093,[[512.60349731]]
323,sprop.RMSprop,0.22223,[[897.57434743]]
324,sprop.RMSprop,0.2323309090909091,[[360.85743093]]
325,sprop.RMSprop,0.2424318181818182,[[325.0591669]]
326,sprop.RMSprop,0.2525327272727273,[[363.35930561]]
327,sprop.RMSprop,0.2626336363636364,[[475.67338433]]
328,sprop.RMSprop,0.27273454545454545,[[363.21294392]]
329,sprop.RMSprop,0.28283545454545456,[[303.95526435]]
330,sprop.RMSprop,0.29293636363636366,[[326.59791653]]
331,sprop.RMSprop,0.3030372727272727,[[395.08059228]]
332,sprop.RMSprop,0.3131381818181818,[[326.31680529]]
333,sprop.RMSprop,0.3232390909090909,[[344.27139868]]
334,sprop.RMSprop,0.33334,[[325.26038582]]
335,sprop.RMSprop,0.34344090909090913,[[344.0680539]]
336,sprop.RMSprop,0.3535418181818182,[[572.81033925]]
337,sprop.RMSprop,0.3636427272727273,[[363.16754079]]
338,sprop.RMSprop,0.3737436363636364,[[318.97981238]]
339,sprop.RMSprop,0.38384454545454544,[[371.98920497]]
340,sprop.RMSprop,0.39394545454545454,[[338.50281026]]
341,sprop.RMSprop,0.40404636363636365,[[314.03341445]]
342,sprop.RMSprop,0.41414727272727275,[[332.7172886]]
343,sprop.RMSprop,0.42424818181818186,[[401.31970578]]
344,sprop.RMSprop,0.4343490909090909,[[308.72481212]]
345,sprop.RMSprop,0.44445,[[1272.62147759]]
346,sprop.RMSprop,0.4545509090909091,[[394.83812972]]
347,sprop.RMSprop,0.46465181818181817,[[310.82868457]]
348,sprop.RMSprop,0.47475272727272727,[[476.29469483]]
349,sprop.RMSprop,0.4848536363636364,[[399.83638963]]
350,sprop.RMSprop,0.4949545454545455,[[361.48617826]]
351,sprop.RMSprop,0.5050554545454545,[[345.66818565]]
352,sprop.RMSprop,0.5151563636363636,[[303.77586923]]
353,sprop.RMSprop,0.5252572727272727,[[300.67077878]]
354,sprop.RMSprop,0.5353581818181817,[[369.36228329]]
355,sprop.RMSprop,0.5454590909090908,[[383.50749682]]
356,sprop.RMSprop,0.5555599999999999,[[310.49049344]]
357,sprop.RMSprop,0.565660909090909,[[387.76555962]]
358,sprop.RMSprop,0.5757618181818182,[[364.38168746]]
359,sprop.RMSprop,0.5858627272727273,[[433.08224499]]
360,sprop.RMSprop,0.5959636363636364,[[352.86631553]]
361,sprop.RMSprop,0.6060645454545454,[[391.88413096]]
362,sprop.RMSprop,0.6161654545454545,[[315.66018676]]
363,sprop.RMSprop,0.6262663636363636,[[403.81261835]]
364,sprop.RMSprop,0.6363672727272727,[[423.96398888]]
365,sprop.RMSprop,0.6464681818181818,[[361.71898779]]
366,sprop.RMSprop,0.6565690909090909,[[381.30871162]]
367,sprop.RMSprop,0.66667,[[298.99656238]]
368,sprop.RMSprop,0.6767709090909091,[[319.17326273]]
369,sprop.RMSprop,0.6868718181818182,[[454.69765862]]
370,sprop.RMSprop,0.6969727272727272,[[332.48668223]]
371,sprop.RMSprop,0.7070736363636363,[[386.0732063]]
372,sprop.RMSprop,0.7171745454545454,[[334.16167935]]
373,sprop.RMSprop,0.7272754545454545,[[528.78997221]]
374,sprop.RMSprop,0.7373763636363636,[[301.69945533]]
375,sprop.RMSprop,0.7474772727272727,[[1229.97341161]]
376,sprop.RMSprop,0.7575781818181818,[[339.35785084]]
377,sprop.RMSprop,0.7676790909090908,[[313.80021453]]
378,sprop.RMSprop,0.7777799999999999,[[445.01186272]]
379,sprop.RMSprop,0.787880909090909,[[307.00093916]]
380,sprop.RMSprop,0.7979818181818181,[[314.62753443]]
381,sprop.RMSprop,0.8080827272727272,[[368.50199451]]
382,sprop.RMSprop,0.8181836363636363,[[328.30553266]]
383,sprop.RMSprop,0.8282845454545454,[[362.82859385]]
384,sprop.RMSprop,0.8383854545454545,[[363.76312381]]
385,sprop.RMSprop,0.8484863636363636,[[307.34459258]]
386,sprop.RMSprop,0.8585872727272726,[[390.22706949]]
387,sprop.RMSprop,0.8686881818181817,[[727.23093709]]
388,sprop.RMSprop,0.8787890909090909,[[609.24763978]]
389,sprop.RMSprop,0.88889,[[344.53834235]]
390,sprop.RMSprop,0.8989909090909091,[[318.786144]]
391,sprop.RMSprop,0.9090918181818182,[[514.91454893]]
392,sprop.RMSprop,0.9191927272727273,[[786.61046483]]
393,sprop.RMSprop,0.9292936363636363,[[379.54294898]]
394,sprop.RMSprop,0.9393945454545454,[[445.34098641]]
395,sprop.RMSprop,0.9494954545454545,[[340.29434963]]
396,sprop.RMSprop,0.9595963636363636,[[438.94473749]]
397,sprop.RMSprop,0.9696972727272727,[[447.52903792]]
398,sprop.RMSprop,0.9797981818181818,[[319.21949174]]
399,sprop.RMSprop,0.9898990909090909,[[351.78997317]]
400,sprop.RMSprop,1.0,[[462.95982263]]
